postcode,skey,time_period,year,quarter,dwelling_type,median_price,mean_price,sales_no,Qdelta_median,Adelta_median,Qdelta_count,Adelta_count,rkey,median_rent_newb,new_bonds_no,total_bonds_no,Qdelta_median_rent,Qdelta_new_bonds,Adelta_median_rent,Adelta_new_bonds
2060,s122,2017 Q3,2017,Q3,Non Strata,2595.0,2712.5,20.0,-0.2015,-0.0217,-0.2222,0.1667,r121,647.0,412.0,3884.0,-0.0046,0.0404,,
2060,s122,2017 Q3,2017,Q3,Strata,1009.0,1152.2895294000002,68.0,-0.1928,-0.064,-0.0423,-0.3267,r121,647.0,412.0,3884.0,-0.0046,0.0404,,
2061,s122,2017 Q3,2017,Q3,Total,1230.0,1339.2,20.0,-0.2657,-0.3387,-0.375,-0.3548,r121,700.0,171.0,1892.0,0.0424,-0.0393,,
2061,s122,2017 Q3,2017,Q3,Strata,1230.0,1339.2,20.0,-0.2657,-0.1751,-0.375,-0.2857,r121,700.0,171.0,1892.0,0.0424,-0.0393,,
2062,s122,2017 Q3,2017,Q3,Total,1433.0,1670.8382352,34.0,0.1603,0.2795,-0.1053,0.0303,r121,650.0,113.0,1312.0,0.0,0.0971,,
2062,s122,2017 Q3,2017,Q3,Non Strata,712.5,743.804,5.0,,,,,r121,650.0,113.0,1312.0,0.0,0.0971,,
2062,s122,2017 Q3,2017,Q3,Strata,1285.0,1293.2291666,20.0,0.285,0.3663,-0.2258,-0.0769,r121,650.0,113.0,1312.0,0.0,0.0971,,
2063,s122,2017 Q3,2017,Q3,Total,2860.0,2700.8823529,20.0,-0.0884,-0.0884,-0.3462,0.0625,r121,835.0,48.0,403.0,-0.2233,0.2632,,
2063,s122,2017 Q3,2017,Q3,Non Strata,3705.0,3895.6818181,20.0,,,,,r121,835.0,48.0,403.0,-0.2233,0.2632,,
2063,s122,2017 Q3,2017,Q3,Strata,685.0,704.3260135999999,5.0,,,,,r121,835.0,48.0,403.0,-0.2233,0.2632,,
2064,s122,2017 Q3,2017,Q3,Total,1061.0,3805.0533333,45.0,0.0827,0.1698,0.3636,0.4516,r121,640.0,108.0,1229.0,0.0323,0.3333,,
2064,s122,2017 Q3,2017,Q3,Non Strata,3180.0,10755.3846153,20.0,0.9569,0.2495,5.5,0.625,r121,640.0,108.0,1229.0,0.0323,0.3333,,
2064,s122,2017 Q3,2017,Q3,Strata,986.5,981.48125,32.0,0.0066,0.1886,0.0323,0.3913,r121,640.0,108.0,1229.0,0.0323,0.3333,,
2065,s122,2017 Q3,2017,Q3,Total,1150.0,1728.327375,168.0,-0.1529,0.1765,-0.087,0.037,r121,650.0,551.0,6022.0,0.0,0.1674,,
2065,s122,2017 Q3,2017,Q3,Non Strata,2560.0,3468.5638297,47.0,0.024,0.2337,-0.2769,0.6786,r121,650.0,551.0,6022.0,0.0,0.1674,,
2065,s122,2017 Q3,2017,Q3,Strata,980.0,1052.3677603,121.0,0.0051,0.0538,0.0168,-0.097,r121,650.0,551.0,6022.0,0.0,0.1674,,
2066,s122,2017 Q3,2017,Q3,Total,898.75,1371.0039285,154.0,-0.082,-0.0352,0.0,-0.0723,r121,570.0,373.0,4286.0,-0.05,-0.0557,,
2066,s122,2017 Q3,2017,Q3,Non Strata,2605.0,2800.1904761,42.0,0.0698,0.2993,-0.2632,-0.125,r121,570.0,373.0,4286.0,-0.05,-0.0557,,
2066,s122,2017 Q3,2017,Q3,Strata,815.0,835.0589732,112.0,-0.024,0.0156,0.1546,-0.0508,r121,570.0,373.0,4286.0,-0.05,-0.0557,,
2067,s122,2017 Q3,2017,Q3,Total,1272.5,1491.7144222,90.0,0.018,0.018,-0.1892,-0.2174,r121,667.5,414.0,4286.0,0.0269,0.1011,,
