Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"POA (UR) by MTW06P Method of Travel to Work (6 travel modes)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"Counting","POA (UR)","MTW06P Method of Travel to Work (6 travel modes)","Count",
"Persons Place of Usual Residence","2071, NSW","Worked at home or Did not go to work",958
"Persons Place of Usual Residence","2071, NSW","Mode not stated",45
"Persons Place of Usual Residence","2071, NSW","Not applicable",7421
"Persons Place of Usual Residence","2071, NSW","Total",13550
"Persons Place of Usual Residence","2072, NSW","Public Transport",1314
"Persons Place of Usual Residence","2072, NSW","Vehicle",1531
"Persons Place of Usual Residence","2072, NSW","Active Transport",116
"Persons Place of Usual Residence","2072, NSW","Other Mode",9
"Persons Place of Usual Residence","2072, NSW","Worked at home or Did not go to work",559
"Persons Place of Usual Residence","2072, NSW","Mode not stated",24
"Persons Place of Usual Residence","2072, NSW","Not applicable",4103
"Persons Place of Usual Residence","2072, NSW","Total",7666
"Persons Place of Usual Residence","2073, NSW","Public Transport",2111
"Persons Place of Usual Residence","2073, NSW","Vehicle",4209
"Persons Place of Usual Residence","2073, NSW","Active Transport",189
"Persons Place of Usual Residence","2073, NSW","Other Mode",43
"Persons Place of Usual Residence","2073, NSW","Worked at home or Did not go to work",1311
"Persons Place of Usual Residence","2073, NSW","Mode not stated",35
"Persons Place of Usual Residence","2073, NSW","Not applicable",8455
"Persons Place of Usual Residence","2073, NSW","Total",16354
"Persons Place of Usual Residence","2074, NSW","Public Transport",2796
"Persons Place of Usual Residence","2074, NSW","Vehicle",5051
"Persons Place of Usual Residence","2074, NSW","Active Transport",278
"Persons Place of Usual Residence","2074, NSW","Other Mode",47
"Persons Place of Usual Residence","2074, NSW","Worked at home or Did not go to work",1797
"Persons Place of Usual Residence","2074, NSW","Mode not stated",70
"Persons Place of Usual Residence","2074, NSW","Not applicable",12228
"Persons Place of Usual Residence","2074, NSW","Total",22261
"Persons Place of Usual Residence","2075, NSW","Public Transport",2165
"Persons Place of Usual Residence","2075, NSW","Vehicle",5543
"Persons Place of Usual Residence","2075, NSW","Active Transport",208
"Persons Place of Usual Residence","2075, NSW","Other Mode",52
"Persons Place of Usual Residence","2075, NSW","Worked at home or Did not go to work",1543
"Persons Place of Usual Residence","2075, NSW","Mode not stated",54
"Persons Place of Usual Residence","2075, NSW","Not applicable",10895
"Persons Place of Usual Residence","2075, NSW","Total",20456
"Persons Place of Usual Residence","2076, NSW","Public Transport",3226
"Persons Place of Usual Residence","2076, NSW","Vehicle",5804
"Persons Place of Usual Residence","2076, NSW","Active Transport",406
"Persons Place of Usual Residence","2076, NSW","Other Mode",64
"Persons Place of Usual Residence","2076, NSW","Worked at home or Did not go to work",1849
"Persons Place of Usual Residence","2076, NSW","Mode not stated",62
"Persons Place of Usual Residence","2076, NSW","Not applicable",13243
"Persons Place of Usual Residence","2076, NSW","Total",24653
"Persons Place of Usual Residence","2077, NSW","Public Transport",7035
"Persons Place of Usual Residence","2077, NSW","Vehicle",8406
"Persons Place of Usual Residence","2077, NSW","Active Transport",1033
"Persons Place of Usual Residence","2077, NSW","Other Mode",75
"Persons Place of Usual Residence","2077, NSW","Worked at home or Did not go to work",2360
"Persons Place of Usual Residence","2077, NSW","Mode not stated",125
"Persons Place of Usual Residence","2077, NSW","Not applicable",18757
"Persons Place of Usual Residence","2077, NSW","Total",37792
"Persons Place of Usual Residence","2079, NSW","Public Transport",930
"Persons Place of Usual Residence","2079, NSW","Vehicle",2280
"Persons Place of Usual Residence","2079, NSW","Active Transport",66
"Persons Place of Usual Residence","2079, NSW","Other Mode",4
"Persons Place of Usual Residence","2079, NSW","Worked at home or Did not go to work",568
"Persons Place of Usual Residence","2079, NSW","Mode not stated",21
"Persons Place of Usual Residence","2079, NSW","Not applicable",3221
"Persons Place of Usual Residence","2079, NSW","Total",7096
"Persons Place of Usual Residence","2080, NSW","Public Transport",190
"Persons Place of Usual Residence","2080, NSW","Vehicle",534
"Persons Place of Usual Residence","2080, NSW","Active Transport",12
"Persons Place of Usual Residence","2080, NSW","Other Mode",3
"Persons Place of Usual Residence","2080, NSW","Worked at home or Did not go to work",125
"Persons Place of Usual Residence","2080, NSW","Mode not stated",8
"Persons Place of Usual Residence","2080, NSW","Not applicable",831
"Persons Place of Usual Residence","2080, NSW","Total",1704
"Persons Place of Usual Residence","2081, NSW","Public Transport",692
"Persons Place of Usual Residence","2081, NSW","Vehicle",1649
"Persons Place of Usual Residence","2081, NSW","Active Transport",50
"Persons Place of Usual Residence","2081, NSW","Other Mode",9
"Persons Place of Usual Residence","2081, NSW","Worked at home or Did not go to work",454
"Persons Place of Usual Residence","2081, NSW","Mode not stated",19
"Persons Place of Usual Residence","2081, NSW","Not applicable",2502
"Persons Place of Usual Residence","2081, NSW","Total",5365
"Persons Place of Usual Residence","2082, NSW","Public Transport",553
"Persons Place of Usual Residence","2082, NSW","Vehicle",1692
"Persons Place of Usual Residence","2082, NSW","Active Transport",61
"Persons Place of Usual Residence","2082, NSW","Other Mode",13
"Persons Place of Usual Residence","2082, NSW","Worked at home or Did not go to work",461
"Persons Place of Usual Residence","2082, NSW","Mode not stated",16
"Persons Place of Usual Residence","2082, NSW","Not applicable",2602
"Persons Place of Usual Residence","2082, NSW","Total",5399
"Persons Place of Usual Residence","2083, NSW","Public Transport",154
"Persons Place of Usual Residence","2083, NSW","Vehicle",439
"Persons Place of Usual Residence","2083, NSW","Active Transport",28
"Persons Place of Usual Residence","2083, NSW","Other Mode",14
"Persons Place of Usual Residence","2083, NSW","Worked at home or Did not go to work",131
"Persons Place of Usual Residence","2083, NSW","Mode not stated",3
"Persons Place of Usual Residence","2083, NSW","Not applicable",742
"Persons Place of Usual Residence","2083, NSW","Total",1514
"Persons Place of Usual Residence","2084, NSW","Public Transport",160
"Persons Place of Usual Residence","2084, NSW","Vehicle",1221
"Persons Place of Usual Residence","2084, NSW","Active Transport",61
"Persons Place of Usual Residence","2084, NSW","Other Mode",8
"Persons Place of Usual Residence","2084, NSW","Worked at home or Did not go to work",322
"Persons Place of Usual Residence","2084, NSW","Mode not stated",12
"Persons Place of Usual Residence","2084, NSW","Not applicable",1836
"Persons Place of Usual Residence","2084, NSW","Total",3625
"Persons Place of Usual Residence","2085, NSW","Public Transport",720
"Persons Place of Usual Residence","2085, NSW","Vehicle",3596
"Persons Place of Usual Residence","2085, NSW","Active Transport",112
"Persons Place of Usual Residence","2085, NSW","Other Mode",21
"Persons Place of Usual Residence","2085, NSW","Worked at home or Did not go to work",862
"Persons Place of Usual Residence","2085, NSW","Mode not stated",49
"Persons Place of Usual Residence","2085, NSW","Not applicable",6256
"Persons Place of Usual Residence","2085, NSW","Total",11624
"Persons Place of Usual Residence","2086, NSW","Public Transport",1050
"Persons Place of Usual Residence","2086, NSW","Vehicle",4352
"Persons Place of Usual Residence","2086, NSW","Active Transport",161
"Persons Place of Usual Residence","2086, NSW","Other Mode",34
"Persons Place of Usual Residence","2086, NSW","Worked at home or Did not go to work",1071
"Persons Place of Usual Residence","2086, NSW","Mode not stated",40
"Persons Place of Usual Residence","2086, NSW","Not applicable",6709
"Persons Place of Usual Residence","2086, NSW","Total",13417
"Persons Place of Usual Residence","2087, NSW","Public Transport",1090
"Persons Place of Usual Residence","2087, NSW","Vehicle",3633
"Persons Place of Usual Residence","2087, NSW","Active Transport",166
"Persons Place of Usual Residence","2087, NSW","Other Mode",28
"Persons Place of Usual Residence","2087, NSW","Worked at home or Did not go to work",922
"Persons Place of Usual Residence","2087, NSW","Mode not stated",51
"Persons Place of Usual Residence","2087, NSW","Not applicable",6908
"Persons Place of Usual Residence","2087, NSW","Total",12796
"Persons Place of Usual Residence","2088, NSW","Public Transport",4510
"Persons Place of Usual Residence","2088, NSW","Vehicle",6265
"Persons Place of Usual Residence","2088, NSW","Active Transport",755
"Persons Place of Usual Residence","2088, NSW","Other Mode",97
"Persons Place of Usual Residence","2088, NSW","Worked at home or Did not go to work",2278
"Persons Place of Usual Residence","2088, NSW","Mode not stated",98
"Persons Place of Usual Residence","2088, NSW","Not applicable",14476
"Persons Place of Usual Residence","2088, NSW","Total",28476
"Persons Place of Usual Residence","2089, NSW","Public Transport",2827
"Persons Place of Usual Residence","2089, NSW","Vehicle",2654
"Persons Place of Usual Residence","2089, NSW","Active Transport",782
"Persons Place of Usual Residence","2089, NSW","Other Mode",50
"Persons Place of Usual Residence","2089, NSW","Worked at home or Did not go to work",827
"Persons Place of Usual Residence","2089, NSW","Mode not stated",53
"Persons Place of Usual Residence","2089, NSW","Not applicable",4724
"Persons Place of Usual Residence","2089, NSW","Total",11914
"Persons Place of Usual Residence","2090, NSW","Public Transport",2974
"Persons Place of Usual Residence","2090, NSW","Vehicle",3243
"Persons Place of Usual Residence","2090, NSW","Active Transport",528
"Persons Place of Usual Residence","2090, NSW","Other Mode",46
"Persons Place of Usual Residence","2090, NSW","Worked at home or Did not go to work",1057
"Persons Place of Usual Residence","2090, NSW","Mode not stated",41
"Persons Place of Usual Residence","2090, NSW","Not applicable",5842
"Persons Place of Usual Residence","2090, NSW","Total",13726
"Persons Place of Usual Residence","2092, NSW","Public Transport",783
"Persons Place of Usual Residence","2092, NSW","Vehicle",1913
"Persons Place of Usual Residence","2092, NSW","Active Transport",104
"Persons Place of Usual Residence","2092, NSW","Other Mode",17
"Persons Place of Usual Residence","2092, NSW","Worked at home or Did not go to work",604
"Persons Place of Usual Residence","2092, NSW","Mode not stated",31
"Persons Place of Usual Residence","2092, NSW","Not applicable",3686
"Persons Place of Usual Residence","2092, NSW","Total",7137
"Persons Place of Usual Residence","2093, NSW","Public Transport",2858
"Persons Place of Usual Residence","2093, NSW","Vehicle",6027
"Persons Place of Usual Residence","2093, NSW","Active Transport",588
"Persons Place of Usual Residence","2093, NSW","Other Mode",68
"Persons Place of Usual Residence","2093, NSW","Worked at home or Did not go to work",1932
"Persons Place of Usual Residence","2093, NSW","Mode not stated",85
"Persons Place of Usual Residence","2093, NSW","Not applicable",11311
"Persons Place of Usual Residence","2093, NSW","Total",22872
"Persons Place of Usual Residence","2094, NSW","Public Transport",1054
"Persons Place of Usual Residence","2094, NSW","Vehicle",1484
"Persons Place of Usual Residence","2094, NSW","Active Transport",252
"Persons Place of Usual Residence","2094, NSW","Other Mode",18
"Persons Place of Usual Residence","2094, NSW","Worked at home or Did not go to work",469
"Persons Place of Usual Residence","2094, NSW","Mode not stated",30
"Persons Place of Usual Residence","2094, NSW","Not applicable",2541
"Persons Place of Usual Residence","2094, NSW","Total",5841
"Persons Place of Usual Residence","2095, NSW","Public Transport",3691
"Persons Place of Usual Residence","2095, NSW","Vehicle",3072
"Persons Place of Usual Residence","2095, NSW","Active Transport",879
"Persons Place of Usual Residence","2095, NSW","Other Mode",47
"Persons Place of Usual Residence","2095, NSW","Worked at home or Did not go to work",1225
"Persons Place of Usual Residence","2095, NSW","Mode not stated",68
"Persons Place of Usual Residence","2095, NSW","Not applicable",6887
"Persons Place of Usual Residence","2095, NSW","Total",15863
"Persons Place of Usual Residence","2096, NSW","Public Transport",1839
"Persons Place of Usual Residence","2096, NSW","Vehicle",4721
"Persons Place of Usual Residence","2096, NSW","Active Transport",418
"Persons Place of Usual Residence","2096, NSW","Other Mode",34
"Persons Place of Usual Residence","2096, NSW","Worked at home or Did not go to work",1210
"Persons Place of Usual Residence","2096, NSW","Mode not stated",52
"Persons Place of Usual Residence","2096, NSW","Not applicable",6381
"Persons Place of Usual Residence","2096, NSW","Total",14656
"Persons Place of Usual Residence","2097, NSW","Public Transport",1266
"Persons Place of Usual Residence","2097, NSW","Vehicle",5398
"Persons Place of Usual Residence","2097, NSW","Active Transport",197
"Persons Place of Usual Residence","2097, NSW","Other Mode",30
"Persons Place of Usual Residence","2097, NSW","Worked at home or Did not go to work",1182
"Persons Place of Usual Residence","2097, NSW","Mode not stated",62
"Persons Place of Usual Residence","2097, NSW","Not applicable",7391
"Persons Place of Usual Residence","2097, NSW","Total",15531
"Persons Place of Usual Residence","2099, NSW","Public Transport",4097
"Persons Place of Usual Residence","2099, NSW","Vehicle",13155
"Persons Place of Usual Residence","2099, NSW","Active Transport",998
"Persons Place of Usual Residence","2099, NSW","Other Mode",110
"Persons Place of Usual Residence","2099, NSW","Worked at home or Did not go to work",2644
"Persons Place of Usual Residence","2099, NSW","Mode not stated",188
"Persons Place of Usual Residence","2099, NSW","Not applicable",18732
"Persons Place of Usual Residence","2099, NSW","Total",39922
"Persons Place of Usual Residence","2100, NSW","Public Transport",1814
