Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"POA (UR) by HRWRP Hours Worked (ranges)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"Counting","POA (UR)","HRWRP Hours Worked (ranges)","Count",
"Persons Place of Usual Residence","2061, NSW","25-34 hours",254
"Persons Place of Usual Residence","2061, NSW","35-39 hours",456
"Persons Place of Usual Residence","2061, NSW","40 hours",773
"Persons Place of Usual Residence","2061, NSW","41-48 hours",449
"Persons Place of Usual Residence","2061, NSW","49 hours and over",876
"Persons Place of Usual Residence","2061, NSW","Not stated",34
"Persons Place of Usual Residence","2061, NSW","Not applicable",2494
"Persons Place of Usual Residence","2062, NSW","None",129
"Persons Place of Usual Residence","2062, NSW","1-15 hours",310
"Persons Place of Usual Residence","2062, NSW","16-24 hours",315
"Persons Place of Usual Residence","2062, NSW","25-34 hours",319
"Persons Place of Usual Residence","2062, NSW","35-39 hours",530
"Persons Place of Usual Residence","2062, NSW","40 hours",928
"Persons Place of Usual Residence","2062, NSW","41-48 hours",526
"Persons Place of Usual Residence","2062, NSW","49 hours and over",926
"Persons Place of Usual Residence","2062, NSW","Not stated",41
"Persons Place of Usual Residence","2062, NSW","Not applicable",2987
"Persons Place of Usual Residence","2063, NSW","None",63
"Persons Place of Usual Residence","2063, NSW","1-15 hours",374
"Persons Place of Usual Residence","2063, NSW","16-24 hours",318
"Persons Place of Usual Residence","2063, NSW","25-34 hours",284
"Persons Place of Usual Residence","2063, NSW","35-39 hours",273
"Persons Place of Usual Residence","2063, NSW","40 hours",511
"Persons Place of Usual Residence","2063, NSW","41-48 hours",269
"Persons Place of Usual Residence","2063, NSW","49 hours and over",757
"Persons Place of Usual Residence","2063, NSW","Not stated",40
"Persons Place of Usual Residence","2063, NSW","Not applicable",3461
"Persons Place of Usual Residence","2064, NSW","None",146
"Persons Place of Usual Residence","2064, NSW","1-15 hours",431
"Persons Place of Usual Residence","2064, NSW","16-24 hours",471
"Persons Place of Usual Residence","2064, NSW","25-34 hours",414
"Persons Place of Usual Residence","2064, NSW","35-39 hours",886
"Persons Place of Usual Residence","2064, NSW","40 hours",1293
"Persons Place of Usual Residence","2064, NSW","41-48 hours",558
"Persons Place of Usual Residence","2064, NSW","49 hours and over",794
"Persons Place of Usual Residence","2064, NSW","Not stated",61
"Persons Place of Usual Residence","2064, NSW","Not applicable",4468
"Persons Place of Usual Residence","2065, NSW","None",545
"Persons Place of Usual Residence","2065, NSW","1-15 hours",1268
"Persons Place of Usual Residence","2065, NSW","16-24 hours",1349
"Persons Place of Usual Residence","2065, NSW","25-34 hours",1287
"Persons Place of Usual Residence","2065, NSW","35-39 hours",2724
"Persons Place of Usual Residence","2065, NSW","40 hours",4595
"Persons Place of Usual Residence","2065, NSW","41-48 hours",2280
"Persons Place of Usual Residence","2065, NSW","49 hours and over",3680
"Persons Place of Usual Residence","2065, NSW","Not stated",217
"Persons Place of Usual Residence","2065, NSW","Not applicable",12161
"Persons Place of Usual Residence","2066, NSW","None",484
"Persons Place of Usual Residence","2066, NSW","1-15 hours",1555
"Persons Place of Usual Residence","2066, NSW","16-24 hours",1558
"Persons Place of Usual Residence","2066, NSW","25-34 hours",1425
"Persons Place of Usual Residence","2066, NSW","35-39 hours",2508
"Persons Place of Usual Residence","2066, NSW","40 hours",3755
"Persons Place of Usual Residence","2066, NSW","41-48 hours",1839
"Persons Place of Usual Residence","2066, NSW","49 hours and over",3433
"Persons Place of Usual Residence","2066, NSW","Not stated",206
"Persons Place of Usual Residence","2066, NSW","Not applicable",14867
"Persons Place of Usual Residence","2067, NSW","None",293
"Persons Place of Usual Residence","2067, NSW","1-15 hours",1309
"Persons Place of Usual Residence","2067, NSW","16-24 hours",1306
"Persons Place of Usual Residence","2067, NSW","25-34 hours",1015
"Persons Place of Usual Residence","2067, NSW","35-39 hours",2275
"Persons Place of Usual Residence","2067, NSW","40 hours",3131
"Persons Place of Usual Residence","2067, NSW","41-48 hours",1124
"Persons Place of Usual Residence","2067, NSW","49 hours and over",1693
"Persons Place of Usual Residence","2067, NSW","Not stated",214
"Persons Place of Usual Residence","2067, NSW","Not applicable",14049
"Persons Place of Usual Residence","2068, NSW","None",220
"Persons Place of Usual Residence","2068, NSW","1-15 hours",928
"Persons Place of Usual Residence","2068, NSW","16-24 hours",855
"Persons Place of Usual Residence","2068, NSW","25-34 hours",753
"Persons Place of Usual Residence","2068, NSW","35-39 hours",885
"Persons Place of Usual Residence","2068, NSW","40 hours",1634
"Persons Place of Usual Residence","2068, NSW","41-48 hours",808
"Persons Place of Usual Residence","2068, NSW","49 hours and over",1848
"Persons Place of Usual Residence","2068, NSW","Not stated",100
"Persons Place of Usual Residence","2068, NSW","Not applicable",8777
"Persons Place of Usual Residence","2069, NSW","None",173
"Persons Place of Usual Residence","2069, NSW","1-15 hours",878
"Persons Place of Usual Residence","2069, NSW","16-24 hours",800
"Persons Place of Usual Residence","2069, NSW","25-34 hours",619
"Persons Place of Usual Residence","2069, NSW","35-39 hours",814
"Persons Place of Usual Residence","2069, NSW","40 hours",1317
"Persons Place of Usual Residence","2069, NSW","41-48 hours",591
"Persons Place of Usual Residence","2069, NSW","49 hours and over",1442
"Persons Place of Usual Residence","2069, NSW","Not stated",106
"Persons Place of Usual Residence","2069, NSW","Not applicable",7511
"Persons Place of Usual Residence","2070, NSW","None",158
"Persons Place of Usual Residence","2070, NSW","1-15 hours",853
"Persons Place of Usual Residence","2070, NSW","16-24 hours",687
"Persons Place of Usual Residence","2070, NSW","25-34 hours",567
"Persons Place of Usual Residence","2070, NSW","35-39 hours",744
"Persons Place of Usual Residence","2070, NSW","40 hours",1266
"Persons Place of Usual Residence","2070, NSW","41-48 hours",612
"Persons Place of Usual Residence","2070, NSW","49 hours and over",1298
"Persons Place of Usual Residence","2070, NSW","Not stated",71
"Persons Place of Usual Residence","2070, NSW","Not applicable",7247
"Persons Place of Usual Residence","2071, NSW","None",133
"Persons Place of Usual Residence","2071, NSW","1-15 hours",822
"Persons Place of Usual Residence","2071, NSW","16-24 hours",608
"Persons Place of Usual Residence","2071, NSW","25-34 hours",524
"Persons Place of Usual Residence","2071, NSW","35-39 hours",863
"Persons Place of Usual Residence","2071, NSW","40 hours",1303
"Persons Place of Usual Residence","2071, NSW","41-48 hours",569
"Persons Place of Usual Residence","2071, NSW","49 hours and over",1192
"Persons Place of Usual Residence","2071, NSW","Not stated",100
"Persons Place of Usual Residence","2071, NSW","Not applicable",7421
"Persons Place of Usual Residence","2072, NSW","None",98
"Persons Place of Usual Residence","2072, NSW","1-15 hours",477
"Persons Place of Usual Residence","2072, NSW","16-24 hours",361
"Persons Place of Usual Residence","2072, NSW","25-34 hours",313
"Persons Place of Usual Residence","2072, NSW","35-39 hours",509
"Persons Place of Usual Residence","2072, NSW","40 hours",814
"Persons Place of Usual Residence","2072, NSW","41-48 hours",329
"Persons Place of Usual Residence","2072, NSW","49 hours and over",622
"Persons Place of Usual Residence","2072, NSW","Not stated",47
"Persons Place of Usual Residence","2072, NSW","Not applicable",4103
"Persons Place of Usual Residence","2073, NSW","None",209
"Persons Place of Usual Residence","2073, NSW","1-15 hours",1088
"Persons Place of Usual Residence","2073, NSW","16-24 hours",808
"Persons Place of Usual Residence","2073, NSW","25-34 hours",751
"Persons Place of Usual Residence","2073, NSW","35-39 hours",915
"Persons Place of Usual Residence","2073, NSW","40 hours",1637
"Persons Place of Usual Residence","2073, NSW","41-48 hours",761
"Persons Place of Usual Residence","2073, NSW","49 hours and over",1635
"Persons Place of Usual Residence","2073, NSW","Not stated",102
"Persons Place of Usual Residence","2073, NSW","Not applicable",8455
"Persons Place of Usual Residence","2074, NSW","None",293
"Persons Place of Usual Residence","2074, NSW","1-15 hours",1404
"Persons Place of Usual Residence","2074, NSW","16-24 hours",1096
"Persons Place of Usual Residence","2074, NSW","25-34 hours",929
"Persons Place of Usual Residence","2074, NSW","35-39 hours",1158
"Persons Place of Usual Residence","2074, NSW","40 hours",2005
"Persons Place of Usual Residence","2074, NSW","41-48 hours",974
"Persons Place of Usual Residence","2074, NSW","49 hours and over",2069
"Persons Place of Usual Residence","2074, NSW","Not stated",110
"Persons Place of Usual Residence","2074, NSW","Not applicable",12228
"Persons Place of Usual Residence","2075, NSW","None",225
"Persons Place of Usual Residence","2075, NSW","1-15 hours",1319
"Persons Place of Usual Residence","2075, NSW","16-24 hours",1049
"Persons Place of Usual Residence","2075, NSW","25-34 hours",883
"Persons Place of Usual Residence","2075, NSW","35-39 hours",1171
"Persons Place of Usual Residence","2075, NSW","40 hours",2002
"Persons Place of Usual Residence","2075, NSW","41-48 hours",901
"Persons Place of Usual Residence","2075, NSW","49 hours and over",1900
"Persons Place of Usual Residence","2075, NSW","Not stated",109
"Persons Place of Usual Residence","2075, NSW","Not applicable",10895
"Persons Place of Usual Residence","2076, NSW","None",357
"Persons Place of Usual Residence","2076, NSW","1-15 hours",1514
"Persons Place of Usual Residence","2076, NSW","16-24 hours",1225
"Persons Place of Usual Residence","2076, NSW","25-34 hours",1056
"Persons Place of Usual Residence","2076, NSW","35-39 hours",1464
"Persons Place of Usual Residence","2076, NSW","40 hours",2390
"Persons Place of Usual Residence","2076, NSW","41-48 hours",1146
"Persons Place of Usual Residence","2076, NSW","49 hours and over",2114
"Persons Place of Usual Residence","2076, NSW","Not stated",141
"Persons Place of Usual Residence","2076, NSW","Not applicable",13243
"Persons Place of Usual Residence","2077, NSW","None",561
"Persons Place of Usual Residence","2077, NSW","1-15 hours",1865
"Persons Place of Usual Residence","2077, NSW","16-24 hours",1983
"Persons Place of Usual Residence","2077, NSW","25-34 hours",1833
"Persons Place of Usual Residence","2077, NSW","35-39 hours",4068
"Persons Place of Usual Residence","2077, NSW","40 hours",4616
"Persons Place of Usual Residence","2077, NSW","41-48 hours",1722
"Persons Place of Usual Residence","2077, NSW","49 hours and over",2087
"Persons Place of Usual Residence","2077, NSW","Not stated",285
"Persons Place of Usual Residence","2077, NSW","Not applicable",18757
"Persons Place of Usual Residence","2079, NSW","None",110
"Persons Place of Usual Residence","2079, NSW","1-15 hours",453
"Persons Place of Usual Residence","2079, NSW","16-24 hours",435
"Persons Place of Usual Residence","2079, NSW","25-34 hours",416
"Persons Place of Usual Residence","2079, NSW","35-39 hours",625
"Persons Place of Usual Residence","2079, NSW","40 hours",852
"Persons Place of Usual Residence","2079, NSW","41-48 hours",388
"Persons Place of Usual Residence","2079, NSW","49 hours and over",558
"Persons Place of Usual Residence","2079, NSW","Not stated",32
"Persons Place of Usual Residence","2079, NSW","Not applicable",3221
"Persons Place of Usual Residence","2080, NSW","None",24
"Persons Place of Usual Residence","2080, NSW","1-15 hours",103
"Persons Place of Usual Residence","2080, NSW","16-24 hours",101
"Persons Place of Usual Residence","2080, NSW","25-34 hours",83
"Persons Place of Usual Residence","2080, NSW","35-39 hours",153
"Persons Place of Usual Residence","2080, NSW","40 hours",190
"Persons Place of Usual Residence","2080, NSW","41-48 hours",79
"Persons Place of Usual Residence","2080, NSW","49 hours and over",129
"Persons Place of Usual Residence","2080, NSW","Not stated",11
"Persons Place of Usual Residence","2080, NSW","Not applicable",831
"Persons Place of Usual Residence","2081, NSW","None",92
"Persons Place of Usual Residence","2081, NSW","1-15 hours",335
"Persons Place of Usual Residence","2081, NSW","16-24 hours",319
"Persons Place of Usual Residence","2081, NSW","25-34 hours",299
"Persons Place of Usual Residence","2081, NSW","35-39 hours",449
"Persons Place of Usual Residence","2081, NSW","40 hours",620
"Persons Place of Usual Residence","2081, NSW","41-48 hours",276
"Persons Place of Usual Residence","2081, NSW","49 hours and over",444
"Persons Place of Usual Residence","2081, NSW","Not stated",43
"Persons Place of Usual Residence","2081, NSW","Not applicable",2502
"Persons Place of Usual Residence","2082, NSW","None",88
"Persons Place of Usual Residence","2082, NSW","1-15 hours",337
"Persons Place of Usual Residence","2082, NSW","16-24 hours",341
"Persons Place of Usual Residence","2082, NSW","25-34 hours",277
"Persons Place of Usual Residence","2082, NSW","35-39 hours",457
"Persons Place of Usual Residence","2082, NSW","40 hours",601
"Persons Place of Usual Residence","2082, NSW","41-48 hours",285
"Persons Place of Usual Residence","2082, NSW","49 hours and over",389
"Persons Place of Usual Residence","2082, NSW","Not stated",30
"Persons Place of Usual Residence","2082, NSW","Not applicable",2602
"Persons Place of Usual Residence","2083, NSW","None",29
"Persons Place of Usual Residence","2083, NSW","1-15 hours",92
"Persons Place of Usual Residence","2083, NSW","16-24 hours",71
"Persons Place of Usual Residence","2083, NSW","25-34 hours",97
"Persons Place of Usual Residence","2083, NSW","35-39 hours",114
"Persons Place of Usual Residence","2083, NSW","40 hours",169
"Persons Place of Usual Residence","2083, NSW","41-48 hours",60
"Persons Place of Usual Residence","2083, NSW","49 hours and over",134
"Persons Place of Usual Residence","2083, NSW","Not stated",8
"Persons Place of Usual Residence","2083, NSW","Not applicable",742
"Persons Place of Usual Residence","2084, NSW","None",46
"Persons Place of Usual Residence","2084, NSW","1-15 hours",272
"Persons Place of Usual Residence","2084, NSW","16-24 hours",199
"Persons Place of Usual Residence","2084, NSW","25-34 hours",206
"Persons Place of Usual Residence","2084, NSW","35-39 hours",214
"Persons Place of Usual Residence","2084, NSW","40 hours",343
"Persons Place of Usual Residence","2084, NSW","41-48 hours",132
"Persons Place of Usual Residence","2084, NSW","49 hours and over",343
"Persons Place of Usual Residence","2084, NSW","Not stated",29
"Persons Place of Usual Residence","2084, NSW","Not applicable",1836
"Persons Place of Usual Residence","2085, NSW","None",153
"Persons Place of Usual Residence","2085, NSW","1-15 hours",743
"Persons Place of Usual Residence","2085, NSW","16-24 hours",614
"Persons Place of Usual Residence","2085, NSW","25-34 hours",577
"Persons Place of Usual Residence","2085, NSW","35-39 hours",641
"Persons Place of Usual Residence","2085, NSW","40 hours",1073
"Persons Place of Usual Residence","2085, NSW","41-48 hours",528
"Persons Place of Usual Residence","2085, NSW","49 hours and over",948
"Persons Place of Usual Residence","2085, NSW","Not stated",86
"Persons Place of Usual Residence","2085, NSW","Not applicable",6256
"Persons Place of Usual Residence","2086, NSW","None",195
"Persons Place of Usual Residence","2086, NSW","1-15 hours",858
