Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"POA (UR) by INCP Total Personal Income (weekly)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"Counting","POA (UR)","INCP Total Personal Income (weekly)","Count",
"Persons Place of Usual Residence","2022, NSW","$1,000-$1,249 ($52,000-$64,999)",849
"Persons Place of Usual Residence","2022, NSW","$1,250-$1,499 ($65,000-$77,999)",707
"Persons Place of Usual Residence","2022, NSW","$1,500-$1,749 ($78,000-$90,999)",686
"Persons Place of Usual Residence","2022, NSW","$1,750-$1,999 ($91,000-$103,999)",508
"Persons Place of Usual Residence","2022, NSW","$2,000-$2,999 ($104,000-$155,999)",975
"Persons Place of Usual Residence","2022, NSW","$3,000 or more ($156,000 or more)",1169
"Persons Place of Usual Residence","2022, NSW","Not stated",1470
"Persons Place of Usual Residence","2022, NSW","Not applicable",1838
"Persons Place of Usual Residence","2022, NSW","Total",12510
"Persons Place of Usual Residence","2023, NSW","Negative income",39
"Persons Place of Usual Residence","2023, NSW","Nil income",894
"Persons Place of Usual Residence","2023, NSW","$1-$149 ($1-$7,799)",276
"Persons Place of Usual Residence","2023, NSW","$150-$299 ($7,800-$15,599)",270
"Persons Place of Usual Residence","2023, NSW","$300-$399 ($15,600-$20,799)",249
"Persons Place of Usual Residence","2023, NSW","$400-$499 ($20,800-$25,999)",260
"Persons Place of Usual Residence","2023, NSW","$500-$649 ($26,000-$33,799)",335
"Persons Place of Usual Residence","2023, NSW","$650-$799 ($33,800-$41,599)",367
"Persons Place of Usual Residence","2023, NSW","$800-$999 ($41,600-$51,999)",466
"Persons Place of Usual Residence","2023, NSW","$1,000-$1,249 ($52,000-$64,999)",641
"Persons Place of Usual Residence","2023, NSW","$1,250-$1,499 ($65,000-$77,999)",591
"Persons Place of Usual Residence","2023, NSW","$1,500-$1,749 ($78,000-$90,999)",566
"Persons Place of Usual Residence","2023, NSW","$1,750-$1,999 ($91,000-$103,999)",460
"Persons Place of Usual Residence","2023, NSW","$2,000-$2,999 ($104,000-$155,999)",930
"Persons Place of Usual Residence","2023, NSW","$3,000 or more ($156,000 or more)",1576
"Persons Place of Usual Residence","2023, NSW","Not stated",854
"Persons Place of Usual Residence","2023, NSW","Not applicable",1940
"Persons Place of Usual Residence","2023, NSW","Total",10719
"Persons Place of Usual Residence","2024, NSW","Negative income",42
"Persons Place of Usual Residence","2024, NSW","Nil income",621
"Persons Place of Usual Residence","2024, NSW","$1-$149 ($1-$7,799)",254
"Persons Place of Usual Residence","2024, NSW","$150-$299 ($7,800-$15,599)",301
"Persons Place of Usual Residence","2024, NSW","$300-$399 ($15,600-$20,799)",368
"Persons Place of Usual Residence","2024, NSW","$400-$499 ($20,800-$25,999)",413
"Persons Place of Usual Residence","2024, NSW","$500-$649 ($26,000-$33,799)",417
"Persons Place of Usual Residence","2024, NSW","$650-$799 ($33,800-$41,599)",444
"Persons Place of Usual Residence","2024, NSW","$800-$999 ($41,600-$51,999)",597
"Persons Place of Usual Residence","2024, NSW","$1,000-$1,249 ($52,000-$64,999)",666
"Persons Place of Usual Residence","2024, NSW","$1,250-$1,499 ($65,000-$77,999)",566
"Persons Place of Usual Residence","2024, NSW","$1,500-$1,749 ($78,000-$90,999)",580
"Persons Place of Usual Residence","2024, NSW","$1,750-$1,999 ($91,000-$103,999)",447
"Persons Place of Usual Residence","2024, NSW","$2,000-$2,999 ($104,000-$155,999)",910
"Persons Place of Usual Residence","2024, NSW","$3,000 or more ($156,000 or more)",1211
"Persons Place of Usual Residence","2024, NSW","Not stated",1209
"Persons Place of Usual Residence","2024, NSW","Not applicable",2029
"Persons Place of Usual Residence","2024, NSW","Total",11073
"Persons Place of Usual Residence","2025, NSW","Negative income",24
"Persons Place of Usual Residence","2025, NSW","Nil income",427
"Persons Place of Usual Residence","2025, NSW","$1-$149 ($1-$7,799)",153
"Persons Place of Usual Residence","2025, NSW","$150-$299 ($7,800-$15,599)",166
"Persons Place of Usual Residence","2025, NSW","$300-$399 ($15,600-$20,799)",220
"Persons Place of Usual Residence","2025, NSW","$400-$499 ($20,800-$25,999)",248
"Persons Place of Usual Residence","2025, NSW","$500-$649 ($26,000-$33,799)",266
"Persons Place of Usual Residence","2025, NSW","$650-$799 ($33,800-$41,599)",254
"Persons Place of Usual Residence","2025, NSW","$800-$999 ($41,600-$51,999)",378
"Persons Place of Usual Residence","2025, NSW","$1,000-$1,249 ($52,000-$64,999)",436
"Persons Place of Usual Residence","2025, NSW","$1,250-$1,499 ($65,000-$77,999)",389
"Persons Place of Usual Residence","2025, NSW","$1,500-$1,749 ($78,000-$90,999)",425
"Persons Place of Usual Residence","2025, NSW","$1,750-$1,999 ($91,000-$103,999)",339
"Persons Place of Usual Residence","2025, NSW","$2,000-$2,999 ($104,000-$155,999)",655
"Persons Place of Usual Residence","2025, NSW","$3,000 or more ($156,000 or more)",1142
"Persons Place of Usual Residence","2025, NSW","Not stated",805
"Persons Place of Usual Residence","2025, NSW","Not applicable",1092
"Persons Place of Usual Residence","2025, NSW","Total",7407
"Persons Place of Usual Residence","2026, NSW","Negative income",106
"Persons Place of Usual Residence","2026, NSW","Nil income",1446
"Persons Place of Usual Residence","2026, NSW","$1-$149 ($1-$7,799)",607
"Persons Place of Usual Residence","2026, NSW","$150-$299 ($7,800-$15,599)",851
"Persons Place of Usual Residence","2026, NSW","$300-$399 ($15,600-$20,799)",1131
"Persons Place of Usual Residence","2026, NSW","$400-$499 ($20,800-$25,999)",1289
"Persons Place of Usual Residence","2026, NSW","$500-$649 ($26,000-$33,799)",1308
"Persons Place of Usual Residence","2026, NSW","$650-$799 ($33,800-$41,599)",1531
"Persons Place of Usual Residence","2026, NSW","$800-$999 ($41,600-$51,999)",1899
"Persons Place of Usual Residence","2026, NSW","$1,000-$1,249 ($52,000-$64,999)",2347
"Persons Place of Usual Residence","2026, NSW","$1,250-$1,499 ($65,000-$77,999)",2008
"Persons Place of Usual Residence","2026, NSW","$1,500-$1,749 ($78,000-$90,999)",1942
"Persons Place of Usual Residence","2026, NSW","$1,750-$1,999 ($91,000-$103,999)",1406
"Persons Place of Usual Residence","2026, NSW","$2,000-$2,999 ($104,000-$155,999)",2980
"Persons Place of Usual Residence","2026, NSW","$3,000 or more ($156,000 or more)",3084
"Persons Place of Usual Residence","2026, NSW","Not stated",3890
"Persons Place of Usual Residence","2026, NSW","Not applicable",4672
