Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"POA (UR) by MSTP Registered Marital Status"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"Counting","POA (UR)","MSTP Registered Marital Status","Count",
"Persons Place of Usual Residence","2077, NSW","Never married",8770
"Persons Place of Usual Residence","2077, NSW","Widowed",1300
"Persons Place of Usual Residence","2077, NSW","Divorced",2354
"Persons Place of Usual Residence","2077, NSW","Separated",703
"Persons Place of Usual Residence","2077, NSW","Married",17256
"Persons Place of Usual Residence","2077, NSW","Not applicable",7411
"Persons Place of Usual Residence","2077, NSW","Total",37792
"Persons Place of Usual Residence","2079, NSW","Never married",1650
"Persons Place of Usual Residence","2079, NSW","Widowed",199
"Persons Place of Usual Residence","2079, NSW","Divorced",366
"Persons Place of Usual Residence","2079, NSW","Separated",132
"Persons Place of Usual Residence","2079, NSW","Married",3284
"Persons Place of Usual Residence","2079, NSW","Not applicable",1472
"Persons Place of Usual Residence","2079, NSW","Total",7096
"Persons Place of Usual Residence","2080, NSW","Never married",371
"Persons Place of Usual Residence","2080, NSW","Widowed",60
"Persons Place of Usual Residence","2080, NSW","Divorced",97
"Persons Place of Usual Residence","2080, NSW","Separated",21
"Persons Place of Usual Residence","2080, NSW","Married",795
"Persons Place of Usual Residence","2080, NSW","Not applicable",362
"Persons Place of Usual Residence","2080, NSW","Total",1704
"Persons Place of Usual Residence","2081, NSW","Never married",1206
"Persons Place of Usual Residence","2081, NSW","Widowed",133
"Persons Place of Usual Residence","2081, NSW","Divorced",236
"Persons Place of Usual Residence","2081, NSW","Separated",79
"Persons Place of Usual Residence","2081, NSW","Married",2551
"Persons Place of Usual Residence","2081, NSW","Not applicable",1169
"Persons Place of Usual Residence","2081, NSW","Total",5365
"Persons Place of Usual Residence","2082, NSW","Never married",1100
"Persons Place of Usual Residence","2082, NSW","Widowed",155
"Persons Place of Usual Residence","2082, NSW","Divorced",303
"Persons Place of Usual Residence","2082, NSW","Separated",101
"Persons Place of Usual Residence","2082, NSW","Married",2506
"Persons Place of Usual Residence","2082, NSW","Not applicable",1243
"Persons Place of Usual Residence","2082, NSW","Total",5399
"Persons Place of Usual Residence","2083, NSW","Never married",417
"Persons Place of Usual Residence","2083, NSW","Widowed",57
"Persons Place of Usual Residence","2083, NSW","Divorced",161
"Persons Place of Usual Residence","2083, NSW","Separated",48
"Persons Place of Usual Residence","2083, NSW","Married",621
"Persons Place of Usual Residence","2083, NSW","Not applicable",215
"Persons Place of Usual Residence","2083, NSW","Total",1514
"Persons Place of Usual Residence","2084, NSW","Never married",809
"Persons Place of Usual Residence","2084, NSW","Widowed",136
"Persons Place of Usual Residence","2084, NSW","Divorced",167
"Persons Place of Usual Residence","2084, NSW","Separated",55
"Persons Place of Usual Residence","2084, NSW","Married",1740
