Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"POA (UR) by AGE5P - Age in Five Year Groups"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"Counting","POA (UR)","AGE5P - Age in Five Year Groups","Count",
"Persons Place of Usual Residence","2025, NSW","30-34 years",661
"Persons Place of Usual Residence","2025, NSW","35-39 years",588
"Persons Place of Usual Residence","2025, NSW","40-44 years",506
"Persons Place of Usual Residence","2025, NSW","45-49 years",464
"Persons Place of Usual Residence","2025, NSW","50-54 years",457
"Persons Place of Usual Residence","2025, NSW","55-59 years",408
"Persons Place of Usual Residence","2025, NSW","60-64 years",384
"Persons Place of Usual Residence","2025, NSW","65-69 years",470
"Persons Place of Usual Residence","2025, NSW","70-74 years",351
"Persons Place of Usual Residence","2025, NSW","75-79 years",303
"Persons Place of Usual Residence","2025, NSW","80-84 years",196
"Persons Place of Usual Residence","2025, NSW","85-89 years",156
"Persons Place of Usual Residence","2025, NSW","90-94 years",87
"Persons Place of Usual Residence","2025, NSW","95-99 years",31
"Persons Place of Usual Residence","2025, NSW","100 years and over",4
"Persons Place of Usual Residence","2025, NSW","Total",7407
"Persons Place of Usual Residence","2026, NSW","0-4 years",1936
"Persons Place of Usual Residence","2026, NSW","5-9 years",1564
"Persons Place of Usual Residence","2026, NSW","10-14 years",1169
"Persons Place of Usual Residence","2026, NSW","15-19 years",938
"Persons Place of Usual Residence","2026, NSW","20-24 years",1891
"Persons Place of Usual Residence","2026, NSW","25-29 years",4575
"Persons Place of Usual Residence","2026, NSW","30-34 years",5100
"Persons Place of Usual Residence","2026, NSW","35-39 years",3448
"Persons Place of Usual Residence","2026, NSW","40-44 years",2614
"Persons Place of Usual Residence","2026, NSW","45-49 years",2129
"Persons Place of Usual Residence","2026, NSW","50-54 years",1549
"Persons Place of Usual Residence","2026, NSW","55-59 years",1278
"Persons Place of Usual Residence","2026, NSW","60-64 years",1045
"Persons Place of Usual Residence","2026, NSW","65-69 years",1082
"Persons Place of Usual Residence","2026, NSW","70-74 years",674
"Persons Place of Usual Residence","2026, NSW","75-79 years",601
"Persons Place of Usual Residence","2026, NSW","80-84 years",401
"Persons Place of Usual Residence","2026, NSW","85-89 years",308
"Persons Place of Usual Residence","2026, NSW","90-94 years",150
"Persons Place of Usual Residence","2026, NSW","95-99 years",34
"Persons Place of Usual Residence","2026, NSW","100 years and over",0
"Persons Place of Usual Residence","2026, NSW","Total",32489
"Persons Place of Usual Residence","2027, NSW","0-4 years",325
"Persons Place of Usual Residence","2027, NSW","5-9 years",277
"Persons Place of Usual Residence","2027, NSW","10-14 years",296
"Persons Place of Usual Residence","2027, NSW","15-19 years",297
"Persons Place of Usual Residence","2027, NSW","20-24 years",322
"Persons Place of Usual Residence","2027, NSW","25-29 years",755
"Persons Place of Usual Residence","2027, NSW","30-34 years",750
"Persons Place of Usual Residence","2027, NSW","35-39 years",594
"Persons Place of Usual Residence","2027, NSW","40-44 years",466
"Persons Place of Usual Residence","2027, NSW","45-49 years",484
"Persons Place of Usual Residence","2027, NSW","50-54 years",464
"Persons Place of Usual Residence","2027, NSW","55-59 years",486
"Persons Place of Usual Residence","2027, NSW","60-64 years",531
"Persons Place of Usual Residence","2027, NSW","65-69 years",565
"Persons Place of Usual Residence","2027, NSW","70-74 years",534
"Persons Place of Usual Residence","2027, NSW","75-79 years",381
"Persons Place of Usual Residence","2027, NSW","80-84 years",258
"Persons Place of Usual Residence","2027, NSW","85-89 years",220
"Persons Place of Usual Residence","2027, NSW","90-94 years",152
"Persons Place of Usual Residence","2027, NSW","95-99 years",36
"Persons Place of Usual Residence","2027, NSW","100 years and over",0
"Persons Place of Usual Residence","2027, NSW","Total",8191
"Persons Place of Usual Residence","2028, NSW","0-4 years",221
"Persons Place of Usual Residence","2028, NSW","5-9 years",156
"Persons Place of Usual Residence","2028, NSW","10-14 years",154
"Persons Place of Usual Residence","2028, NSW","15-19 years",156
"Persons Place of Usual Residence","2028, NSW","20-24 years",243
"Persons Place of Usual Residence","2028, NSW","25-29 years",532
"Persons Place of Usual Residence","2028, NSW","30-34 years",547
"Persons Place of Usual Residence","2028, NSW","35-39 years",360
"Persons Place of Usual Residence","2028, NSW","40-44 years",290
"Persons Place of Usual Residence","2028, NSW","45-49 years",251
"Persons Place of Usual Residence","2028, NSW","50-54 years",215
"Persons Place of Usual Residence","2028, NSW","55-59 years",267
"Persons Place of Usual Residence","2028, NSW","60-64 years",236
